uuid,dates,poke_id,haiku,sprites
1_2024-01-01,2024-01-01,40,"In the cave's dark,
I found a Zubat.
Its eyes
Are shut",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/41.gif
2_2024-01-02,2024-01-02,27,"Curls up into a spiny ball,
A Pokemon called Sandslash.
It can roll while curled up,
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/28.gif
3_2024-01-03,2024-01-03,122,"Scyther, with its wickedly sharp scythes
Scratches and tears its prey.
From a grassland",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/123.gif
4_2024-01-04,2024-01-04,9,"aterpie, caterpie,
Caterpie, the caterpillar, the
Caterpie, the caterpillar,",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/10.gif
5_2024-01-05,2024-01-05,27,"Curls up into a spiny ball,
A Pokemon called Sandslash.
It can roll while curled up,
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/28.gif
6_2024-01-06,2024-01-06,104,"The marowak

Is the smallest Pokemon

And also the weakest.

It is small and

",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/105.gif
7_2024-01-07,2024-01-07,37,"A vengeful Pokemon,
Its many tails,
A curse that lasts a thousand years.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/38.gif
8_2024-01-08,2024-01-08,104,"The marowak

Is the smallest Pokemon

And also the weakest.

It is small and

",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/105.gif
9_2024-01-09,2024-01-09,88,"A muk, muk, muk
Thickly covered in a vile
Sludge.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/89.gif
10_2024-01-10,2024-01-10,120,"A starmie glows like a star
A central core bright
A gem.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/121.gif
11_2024-01-11,2024-01-11,2,"A Venusaur, moving,
Seeking sunlight.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/3.gif
12_2024-01-12,2024-01-12,86,"A dewgong swims
It's thermal energy
Is stored in the body.
",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/animated/87.gif
